Time,Anomaly (deg C)
1909-12,-0.5962325
1910-01,-0.43267882
1910-02,-0.52895504
1910-03,-0.6188239
1910-04,-0.5348015
1910-05,-0.53672475
1910-06,-0.55922884
1910-07,-0.43464226
1910-08,-0.38866886
1910-09,-0.4228183
1910-10,-0.48470154
1910-11,-0.6723143
1910-12,-0.75655586
1911-01,-0.66792786
1911-02,-0.70591265
1911-03,-0.7638631
1911-04,-0.6435215
1911-05,-0.6270833
1911-06,-0.55419534
1911-07,-0.4924836
1911-08,-0.50632066
1911-09,-0.49810326
1911-10,-0.34498498
1911-11,-0.3491855
1911-12,-0.3153667
1912-01,-0.32927233
1912-02,-0.31478965
1912-03,-0.5542118
1912-04,-0.33774602
1912-05,-0.3351191
1912-06,-0.28495222
1912-07,-0.50717443
1912-08,-0.5723381
1912-09,-0.64362735
1912-10,-0.6789801
1912-11,-0.5577874
1912-12,-0.59046507
1913-01,-0.5635126
1913-02,-0.5499484
1913-03,-0.6056625
1913-04,-0.533902
1913-05,-0.5410281
1913-06,-0.5513428
1913-07,-0.47683704
1913-08,-0.3954589
1913-09,-0.4167614
1913-10,-0.43822035
1913-11,-0.36757883
1913-12,-0.16388014
1914-01,-0.07832726
1914-02,-0.26996037
1914-03,-0.3973331
1914-04,-0.4087523
1914-05,-0.30774707
1914-06,-0.30783066
1914-07,-0.2967975
1914-08,-0.24444422
1914-09,-0.30123475
1914-10,-0.11011493
1914-11,-0.1901363
1914-12,-0.2365605
1915-01,-0.2872971
1915-02,-0.22026111
1915-03,-0.19383056
1915-04,-0.08245257
1915-05,-0.16790764
1915-06,-0.1719328
1915-07,-0.16885509
1915-08,-0.06664396
1915-09,-0.120124
1915-10,-0.28593215
1915-11,-0.17264453
1915-12,-0.36218482
1916-01,-0.33768356
1916-02,-0.26385295
1916-03,-0.43891233
1916-04,-0.37498996
1916-05,-0.41793218
1916-06,-0.49464902
1916-07,-0.3846926
1916-08,-0.29657167
1916-09,-0.32167742
1916-10,-0.37422758
1916-11,-0.5140146
1916-12,-0.82107395
1917-01,-0.6890276
1917-02,-0.71578526
1917-03,-0.78410584
1917-04,-0.54591686
1917-05,-0.6440873
1917-06,-0.47867236
1917-07,-0.24506715
1917-08,-0.3326128
1917-09,-0.29776502
1917-10,-0.53541094
1917-11,-0.45904374
1917-12,-0.78634137
1918-01,-0.51777416
1918-02,-0.6719548
1918-03,-0.5788612
1918-04,-0.6232451
1918-05,-0.5250002
1918-06,-0.3862979
1918-07,-0.36936435
1918-08,-0.42960182
1918-09,-0.25802705
1918-10,-0.11865723
1918-11,-0.1895618
1918-12,-0.4240235
1919-01,-0.2510325
1919-02,-0.2418407
1919-03,-0.39185974
1919-04,-0.21117851
1919-05,-0.30771086
1919-06,-0.35747308
1919-07,-0.2996656
1919-08,-0.23790476
1919-09,-0.28582785
1919-10,-0.25858322
1919-11,-0.557303
1919-12,-0.50308895
1920-01,-0.2584196
1920-02,-0.54566646
1920-03,-0.17184976
1920-04,-0.3363508
1920-05,-0.25605178
1920-06,-0.2378713
1920-07,-0.3002392
1920-08,-0.22637759
1920-09,-0.1962272
1920-10,-0.21753603
1920-11,-0.34541765
1920-12,-0.4882535
1921-01,-0.21738231
1921-02,-0.2949843
1921-03,-0.3424
1921-04,-0.29073176
1921-05,-0.3013633
1921-06,-0.15416723
1921-07,-0.15516737
1921-08,-0.32111764
1921-09,-0.20687608
1921-10,-0.13420631
1921-11,-0.1956902
1921-12,-0.27124575
1922-01,-0.41884497
1922-02,-0.40857023
1922-03,-0.34390998
1922-04,-0.2908718
1922-05,-0.46940997
1922-06,-0.2924666
1922-07,-0.25884026
1922-08,-0.35566163
1922-09,-0.3243542
1922-10,-0.34490773
1922-11,-0.25516132
1922-12,-0.30516568
1923-01,-0.40348002
1923-02,-0.4941863
1923-03,-0.455376
1923-04,-0.4101365
1923-05,-0.40362665
1923-06,-0.252443
1923-07,-0.41938844
1923-08,-0.32360032
1923-09,-0.34068474
1923-10,-0.17620523
1923-11,-0.033261124
1923-12,-0.099794105
1924-01,-0.32685283
